num_agents,seed,reward,decision_ms,offload_msgs_per_step,state_msgs_per_step,total_msgs_per_step,centralized_msgs_per_step,deadline_miss_rate
5,0,71.6422906197712,0.11668478040115184,0.0008333333333333334,5,5.0008333333333335,30,0.0
5,1,83.11684601334981,0.09806132665835321,0.0008333333333333334,5,5.0008333333333335,30,0.0
5,2,74.70088255495904,0.10852628646858242,0.0008333333333333334,5,5.0008333333333335,30,0.0
5,3,79.90273695102715,0.11736854805753359,0.0008333333333333334,5,5.0008333333333335,30,0.0
5,4,63.417463154490996,0.12863901477410564,0.0005555555555555556,5,5.000555555555556,30,0.0
10,0,32.67477271318971,0.08621558294786762,0.0011111111111111111,10,10.001111111111111,110,0.0
10,1,43.41781860240931,0.11645339565034696,0.0011111111111111111,10,10.001111111111111,110,0.0
10,2,44.0137532033422,0.11871926445100042,0.0011111111111111111,10,10.001111111111111,110,0.0
10,3,42.22487972463051,0.05218493482324347,0.0011111111111111111,10,10.001111111111111,110,0.0
10,4,38.29390603973052,0.10046707262517884,0.0011111111111111111,10,10.001111111111111,110,0.0
20,0,19.60649388898762,0.0801685381480234,0.0022222222222222222,20,20.002222222222223,420,0.0
20,1,19.23741041012976,0.08145978107899686,0.0022222222222222222,20,20.002222222222223,420,0.0
20,2,22.34094009404327,0.08502922232987152,0.0022222222222222222,20,20.002222222222223,420,0.0
20,3,21.62747044328768,0.090284109787414,0.0025,20,20.0025,420,0.0
20,4,17.365954017749324,0.0531330868535507,0.0022222222222222222,20,20.002222222222223,420,0.0
50,0,7.873198634941668,0.03549170824440403,0.005555555555555556,50,50.00555555555555,2550,0.0
50,1,8.942004693234772,0.049855040353334816,0.005555555555555556,50,50.00555555555555,2550,0.0
50,2,9.146939540868862,0.04069783561733655,0.005555555555555556,50,50.00555555555555,2550,0.0
50,3,8.750564534065306,0.0631081703694589,0.005555555555555556,50,50.00555555555555,2550,0.0
50,4,7.011927626545944,0.07655778405864516,0.005555555555555556,50,50.00555555555555,2550,0.0
