sweep,value,seed,reward,avg_latency_s,energy_seu,deadline_miss_rate,cloud_offloads,cloud_over_deadline_rate,offload_msgs_per_step
packet_loss,0.01,0,32.43350899807684,0.027287853577371048,33021.75834708618,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.01,1,42.641399033972284,0.016994335221592802,33017.8152312797,0.0,2863,0.0,0.0011111111111111111
packet_loss,0.01,2,43.32700432902304,0.02190258254331481,33019.56637688891,0.0,2925,0.0,0.0011111111111111111
packet_loss,0.01,3,42.77837227499062,0.021368948247078464,33020.54408229538,0.0,2876,0.0,0.0011111111111111111
packet_loss,0.01,4,41.161523525453816,0.02131979695431472,33019.603393929574,0.0,2824,0.0,0.0011111111111111111
packet_loss,0.01,5,27.898431418553244,0.01503006012024048,33017.18013642964,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.01,6,42.82413528652209,0.013554727211114876,33014.48165801021,0.0,2840,0.0,0.0011111111111111111
packet_loss,0.01,7,43.946711669217464,0.024002594875121634,33021.02555861562,0.0,2961,0.0,0.0011111111111111111
packet_loss,0.01,8,38.457983947027074,0.026050146532074242,33023.77893498037,0.0,2927,0.0,0.001388888888888889
packet_loss,0.01,9,41.88184204892307,0.022304832713754646,33020.230079683584,0.0,2845,0.0,0.0011111111111111111
packet_loss,0.03,0,31.90763360275554,0.027287853577371048,33021.75834708618,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.03,1,42.116398982294335,0.016994335221592802,33017.8152312797,0.0,2863,0.0,0.0011111111111111111
packet_loss,0.03,2,42.790108143020895,0.02190258254331481,33019.56637688891,0.0,2925,0.0,0.0011111111111111111
packet_loss,0.03,3,42.25084376106722,0.021368948247078464,33020.54408229538,0.0,2876,0.0,0.0011111111111111111
packet_loss,0.03,4,40.64336268360913,0.02131979695431472,33019.603393929574,0.0,2824,0.0,0.0011111111111111111
packet_loss,0.03,5,27.37218866354259,0.01503006012024048,33017.18013642964,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.03,6,42.30303556716263,0.013554727211114876,33014.48165801021,0.0,2840,0.0,0.0011111111111111111
packet_loss,0.03,7,43.40447570760201,0.024002594875121634,33021.02555861562,0.0,2961,0.0,0.0011111111111111111
packet_loss,0.03,8,37.921424175259574,0.026050146532074242,33023.77893498037,0.0,2927,0.0,0.001388888888888889
packet_loss,0.03,9,41.35977848323823,0.022304832713754646,33020.230079683584,0.0,2845,0.0,0.0011111111111111111
packet_loss,0.05,0,31.37080168553004,0.027287853577371048,33021.75834708618,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.05,1,41.58045978525728,0.016994335221592802,33017.8152312797,0.0,2863,0.0,0.0011111111111111111
packet_loss,0.05,2,42.24202581886778,0.02190258254331481,33019.56637688891,0.0,2925,0.0,0.0011111111111111111
packet_loss,0.05,3,41.712324282802555,0.021368948247078464,33020.54408229538,0.0,2876,0.0,0.0011111111111111111
packet_loss,0.05,4,40.11440605123279,0.02131979695431472,33019.603393929574,0.0,2824,0.0,0.0011111111111111111
packet_loss,0.05,5,26.8348002452065,0.01503006012024048,33017.18013642964,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.05,6,41.771078826272365,0.013554727211114876,33014.48165801021,0.0,2840,0.0,0.0011111111111111111
packet_loss,0.05,7,42.85094208178954,0.024002594875121634,33021.02555861562,0.0,2961,0.0,0.0011111111111111111
packet_loss,0.05,8,37.37368464452876,0.026050146532074242,33023.77893498037,0.0,2927,0.0,0.001388888888888889
packet_loss,0.05,9,40.82683688393519,0.022304832713754646,33020.230079683584,0.0,2845,0.0,0.0011111111111111111
packet_loss,0.1,0,29.977651595058813,0.027287853577371048,33021.75834708618,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.1,1,40.18962224858137,0.016994335221592802,33017.8152312797,0.0,2863,0.0,0.0011111111111111111
packet_loss,0.1,2,40.81967942891072,0.02190258254331481,33019.56637688891,0.0,2925,0.0,0.0011111111111111111
packet_loss,0.1,3,40.314794747408556,0.021368948247078464,33020.54408229538,0.0,2876,0.0,0.0011111111111111111
packet_loss,0.1,4,38.74169337040177,0.02131979695431472,33019.603393929574,0.0,2824,0.0,0.0011111111111111111
packet_loss,0.1,5,25.440190339761035,0.01503006012024048,33017.18013642964,0.0,2870,0.0,0.0008333333333333334
packet_loss,0.1,6,40.39058046557839,0.013554727211114876,33014.48165801021,0.0,2840,0.0,0.0011111111111111111
packet_loss,0.1,7,41.41444751479425,0.024002594875121634,33021.02555861562,0.0,2961,0.0,0.0011111111111111111
packet_loss,0.1,8,35.95222479242838,0.026050146532074242,33023.77893498037,0.0,2927,0.0,0.001388888888888889
packet_loss,0.1,9,39.443778168249466,0.022304832713754646,33020.230079683584,0.0,2845,0.0,0.0011111111111111111
latency_scale,2.0,0,14.831079060179242,0.027287853577371048,33021.75834708618,0.0,2870,0.011846689895470384,0.0008333333333333334
latency_scale,2.0,1,25.068790454995543,0.016994335221592802,33017.8152312797,0.0,2863,0.006636395389451624,0.0011111111111111111
latency_scale,2.0,2,25.356775635330596,0.02190258254331481,33019.56637688891,0.0,2925,0.009572649572649573,0.0011111111111111111
latency_scale,2.0,3,25.121685033018466,0.021368948247078464,33020.54408229538,0.0,2876,0.010778859527121001,0.0011111111111111111
latency_scale,2.0,4,23.818377735201857,0.02131979695431472,33019.603393929574,0.0,2824,0.007790368271954674,0.0011111111111111111
latency_scale,2.0,5,10.27882110527573,0.01503006012024048,33017.18013642964,0.0,2870,0.006968641114982578,0.0008333333333333334
latency_scale,2.0,6,25.382623550632573,0.013554727211114876,33014.48165801021,0.0,2840,0.007746478873239437,0.0011111111111111111
latency_scale,2.0,7,25.797579131998766,0.024002594875121634,33021.02555861562,0.0,2961,0.0060790273556231,0.0011111111111111111
latency_scale,2.0,8,20.49860880414865,0.026050146532074242,33023.77893498037,0.0,2927,0.011274342330030749,0.001388888888888889
latency_scale,2.0,9,24.407467518401024,0.022304832713754646,33020.230079683584,0.0,2845,0.007381370826010545,0.0011111111111111111
latency_scale,3.0,0,4.379810433583203,0.027287853577371048,33021.75834708618,0.0,2870,0.156794425087108,0.0008333333333333334
latency_scale,3.0,1,14.637511070992298,0.016994335221592802,33017.8152312797,0.0,2863,0.14320642682500873,0.0011111111111111111
latency_scale,3.0,2,14.690205036329147,0.02190258254331481,33019.56637688891,0.0,2925,0.14153846153846153,0.0011111111111111111
latency_scale,3.0,3,14.617901684907597,0.021368948247078464,33020.460748962054,0.0,2878,0.1487143849895761,0.0011111111111111111
latency_scale,3.0,4,13.520962956545983,0.02131979695431472,33019.603393929574,0.0,2824,0.14305949008498584,0.0011111111111111111
latency_scale,3.0,5,-0.17974589326626506,0.01503006012024048,33017.18013642964,0.0,2870,0.15017421602787456,0.0008333333333333334
latency_scale,3.0,6,15.029882945306802,0.013554727211114876,33014.48165801021,0.0,2840,0.15035211267605633,0.0011111111111111111
latency_scale,3.0,7,14.785127265793339,0.025948751216347713,33021.98463125424,0.0,2945,0.14702886247877758,0.0011111111111111111
