loss_fraction,seed,dead_agents,reward,avg_latency_s,energy_seu,deadline_miss_rate,completion_ratio,completed_tasks,total_tasks
0.0,0,,36.79316771086033,0.02353342428376535,33020.25885896101,0.0,1.0,2932,2932
0.0,1,,43.38052173964521,0.024549918166939442,33020.20904341403,0.0,1.0,3055,3055
0.0,2,,43.50930447684399,0.01874595992243051,33019.10997670815,0.0,1.0003233107015843,3094,3093
0.0,3,,33.313914728000945,0.01791044776119403,33019.617293646,0.0,0.9996684350132626,3015,3016
0.0,4,,42.282020751879095,0.019627749576988155,33019.68112223283,0.0,1.0006772773450727,2955,2953
0.0,5,,37.82047609347235,0.019095477386934675,33017.98204510527,0.0,0.9996651038178165,2985,2986
0.0,6,,37.92493449252287,0.02385685884691849,33020.93494079192,0.0,0.9996687644915535,3018,3019
0.0,7,,44.01018663229878,0.016938110749185668,33017.56523655877,0.0,1.0003258390355165,3070,3069
0.0,8,,41.64051463909101,0.014786795048143054,33017.145465279755,0.0,1.0,2908,2908
0.0,9,,44.03308022834666,0.021696252465483234,33017.258126101944,0.0,1.0,3042,3042
0.1,0,2,37.07271760614007,0.03854024556616644,33039.82251963903,0.0,1.0,2932,2932
0.1,1,2,43.240199263156455,0.044844517184942714,33048.30114378782,0.0,1.0,3055,3055
0.1,2,4,43.82580840819894,0.0394311570782159,33039.44305368212,0.0,1.0003233107015843,3094,3093
0.1,3,5,32.47671127408041,0.046766169154228855,33046.77129049995,0.0,0.9996684350132626,3015,3016
0.1,4,3,41.93682432010706,0.04230118443316413,33040.26459473181,0.0,1.0006772773450727,2955,2953
0.1,5,9,38.317230526381394,0.031825795644891124,33029.71340636277,0.0,0.9996651038178165,2985,2986
0.1,6,8,38.01731696455067,0.044746436857805764,33038.12046397857,0.0,0.999337528983107,3017,3019
0.1,7,8,44.03029259887407,0.04267100977198697,33037.11067382889,0.0,1.0003258390355165,3070,3069
0.1,8,8,41.7060076597181,0.0405777166437414,33035.19378172284,0.0,1.0,2908,2908
0.1,9,8,44.01028264699225,0.0381328073635766,33031.48834970735,0.0,1.0,3042,3042
0.2,0,2;8,36.99229934387637,0.06855388813096862,33061.88978979675,0.0,1.0,2932,2932
0.2,1,2;9,43.65100217540734,0.06385068762278978,33062.03453783487,0.0006548788474132286,0.9996726677577742,3054,3055
0.2,2,1;4,43.511166364312224,0.07110536522301228,33069.916813235526,0.0,1.0003233107015843,3094,3093
0.2,3,4;5,32.981400126655686,0.07761194029850746,33068.7602248212,0.0003316749585406302,0.9996684350132626,3015,3016
0.2,4,3;8,42.34006171278789,0.0676818950930626,33057.374725014284,0.0,1.0006772773450727,2955,2953
0.2,5,5;9,37.71993925015898,0.07102177554438861,33057.019073626376,0.00033500837520938025,0.9996651038178165,2985,2986
0.2,6,1;8,38.01733044637274,0.073558648111332,33065.62167400165,0.0,0.9996687644915535,3018,3019
0.2,7,5;8,44.43786910273423,0.06579804560260587,33055.06985199972,0.0,1.0003258390355165,3070,3069
0.2,8,6;8,41.60849356239834,0.06464924346629987,33055.585908945104,0.0,1.0,2908,2908
0.2,9,4;8,43.527975507853135,0.07199211045364892,33059.55310106537,0.0003287310979618672,1.0,3042,3042
0.3,0,2;4;8,37.003462811053936,0.09583901773533424,33088.660044281256,0.00034106412005457026,1.0,2932,2932
0.3,1,2;6;9,42.55948264356665,0.10379829731499672,33094.0736887459,0.0,0.9996726677577742,3054,3055
0.3,2,1;4;5,43.6197312574869,0.08761720012932428,33091.384021907754,0.0,1.0,3093,3093
0.3,3,1;4;5,32.76771849560774,0.10281923714759536,33098.71800632445,0.0,0.9996684350132626,3015,3016
0.3,4,3;4;8,41.99628292740419,0.09340101522842639,33080.101331655525,0.0,1.0006772773450727,2955,2953
0.3,5,2;5;9,37.97846868709689,0.08176943699731903,33076.59348304959,0.0,0.999330207635633,2984,2986
0.3,6,1;7;8,38.14584891640853,0.09675281643472498,33080.32007990423,0.0006626905235255136,0.9996687644915535,3018,3019
0.3,7,0;5;8,43.91166452571181,0.09739413680781758,33088.16083272404,0.0,1.0003258390355165,3070,3069
0.3,8,6;8;9,40.73607082942189,0.0859697386519945,33073.82475078806,0.0,1.0,2908,2908
0.3,9,4;7;8,43.42915219828362,0.07955292570677186,33071.78841598881,0.0,1.0,3042,3042
