reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,method,seed,episode
-354.39494353073326,0.3104026845637584,33278.732762801395,0.0010067114093959733,2980,3020,Zhao et al. (MARL-ABC),6,2
-288.8088141035968,0.33972602739726027,33281.59071571834,0.002397260273972603,2920,2947,Zhao et al. (MARL-ABC),6,3
-325.7658553502452,0.37323701410388715,33305.76312954927,0.0017199862401100791,2907,2941,Zhao et al. (MARL-ABC),6,4
-291.71912440339236,0.3983333333333333,33347.84398578921,0.0013333333333333333,3000,3031,Zhao et al. (MARL-ABC),6,5
-242.06717544864975,0.32002639392939625,33273.93140956334,0.0003299241174529858,3031,3063,Zhao et al. (MARL-ABC),6,6
-195.97638816901724,0.3137512307187397,33268.0875514284,0.0006563833278634722,3047,3077,Zhao et al. (MARL-ABC),6,7
-174.47559713714188,0.21903171953255426,33192.8996112967,0.0,2995,3022,Zhao et al. (MARL-ABC),6,8
-180.14394239105562,0.13026315789473683,33113.61961706816,0.0,3040,3069,Zhao et al. (MARL-ABC),6,9
-258.52861406518895,0.4282800815771584,33392.35124531423,0.0006798096532970768,2942,2964,Zhao et al. (MARL-ABC),7,0
-223.4079897921646,0.43525058863101246,33400.843777727976,0.0003363605785401951,2973,3002,Zhao et al. (MARL-ABC),7,1
-185.42842491010077,0.4392106938255888,33426.62377939709,0.0006365372374283895,3142,3168,Zhao et al. (MARL-ABC),7,2
-141.82727741316586,0.37705479452054796,33329.55234344543,0.00034246575342465754,2920,2940,Zhao et al. (MARL-ABC),7,3
-192.2492681599951,0.33881247903388123,33308.3131589718,0.0010063737001006373,2981,3005,Zhao et al. (MARL-ABC),7,4
-195.75835614716738,0.27849783981389165,33263.797348574306,0.0,3009,3032,Zhao et al. (MARL-ABC),7,5
-272.06889939526536,0.17572944297082227,33166.57288306448,0.0003315649867374005,3016,3056,Zhao et al. (MARL-ABC),7,6
-232.82218032594253,0.12389078498293515,33118.31096133927,0.0,2930,2961,Zhao et al. (MARL-ABC),7,7
-221.21288933494353,0.14203389830508475,33122.72581352061,0.0,2950,2975,Zhao et al. (MARL-ABC),7,8
-238.36152496394644,0.12975778546712802,33123.75521317132,0.0,2890,2922,Zhao et al. (MARL-ABC),7,9
-309.4178738703287,0.46551724137931033,33423.19688404582,0.002028397565922921,2958,2993,Zhao et al. (MARL-ABC),8,0
-282.7324234819183,0.37806140048292514,33341.66130566562,0.0,2899,2931,Zhao et al. (MARL-ABC),8,1
-221.6283748905545,0.32309217046580774,33296.32688856701,0.0006607201850016518,3027,3053,Zhao et al. (MARL-ABC),8,2
-210.63265777229262,0.29071332436069985,33255.407901793755,0.00033647375504710633,2972,2993,Zhao et al. (MARL-ABC),8,3
-265.15867928849775,0.3132932531730127,33286.86675472393,0.001002004008016032,2994,3019,Zhao et al. (MARL-ABC),8,4
-259.85032388753694,0.35072856658759743,33332.25980005202,0.00033886818027787193,2951,2974,Zhao et al. (MARL-ABC),8,5
-228.0199401008954,0.21169354838709678,33213.90414996359,0.0003360215053763441,2976,3002,Zhao et al. (MARL-ABC),8,6
-272.5201786311994,0.22178606476938176,33223.02002252053,0.0,3057,3092,Zhao et al. (MARL-ABC),8,7
-145.33152292188197,0.15661446184605132,33151.96773339382,0.0,3001,3022,Zhao et al. (MARL-ABC),8,8
-216.96510402665766,0.20451388888888888,33171.25827415442,0.0,2880,2913,Zhao et al. (MARL-ABC),8,9
-236.65388065587874,0.29887024991441286,33272.00419020553,0.00034234851078397807,2921,2953,Zhao et al. (MARL-ABC),9,0
-235.1097049945271,0.28484643941950727,33261.59851583757,0.0006749915626054674,2963,2994,Zhao et al. (MARL-ABC),9,1
-239.02625381561535,0.2639305972639306,33242.74605819586,0.0,2997,3026,Zhao et al. (MARL-ABC),9,2
-182.09707041949085,0.2047872340425532,33181.75635083166,0.0,3008,3035,Zhao et al. (MARL-ABC),9,3
-200.00641237463032,0.1555327166837958,33151.68738512075,0.0,2919,2951,Zhao et al. (MARL-ABC),9,4
-191.21832750041824,0.1796182685753238,33172.28181982442,0.0,2934,2961,Zhao et al. (MARL-ABC),9,5
-274.47436211155633,0.15853658536585366,33132.75595005066,0.0,2952,2987,Zhao et al. (MARL-ABC),9,6
-334.34107136323325,0.29172185430463576,33264.22956300978,0.00033112582781456954,3020,3059,Zhao et al. (MARL-ABC),9,7
-315.9818367759718,0.39084745762711864,33321.1272579613,0.0013559322033898306,2950,2996,Zhao et al. (MARL-ABC),9,8
-248.40324241715825,0.38333333333333336,33323.651777329826,0.0003401360544217687,2940,2976,Zhao et al. (MARL-ABC),9,9
30.206246957722982,0.47152317880794703,33443.451560275345,0.0009933774834437086,3020,3021,FADDEER (attention),0,0
29.70673531462452,0.5245015207840487,33458.87006710885,0.0006759040216289286,2959,2960,FADDEER (attention),0,1
30.537363033337225,0.5207986688851913,33467.31345932194,0.00033277870216306157,3005,3003,FADDEER (attention),0,2
30.089817242527744,0.47096128170894525,33448.45748048866,0.0,2996,2996,FADDEER (attention),0,3
29.55160725694747,0.4915534945346141,33461.146394396965,0.000662471016893011,3019,3019,FADDEER (attention),0,4
31.32470622030712,0.5009823182711198,33473.33432914726,0.0006548788474132286,3054,3054,FADDEER (attention),0,5
30.57222171794572,0.5113226124056449,33466.53879674544,0.001969149983590417,3047,3047,FADDEER (attention),0,6
30.197842327108344,0.5074086269344749,33478.490365348494,0.0006585446163977609,3037,3037,FADDEER (attention),0,7
30.770931550325848,0.4856091030789826,33441.8122369327,0.001004016064257028,2988,2988,FADDEER (attention),0,8
31.8080915784669,0.5106105125693764,33467.51455882455,0.0009794319294809011,3063,3063,FADDEER (attention),0,9
30.35768724788252,0.48358791030224246,33460.71989151366,0.00032499187520311994,3077,3076,FADDEER (attention),1,0
30.555144310342886,0.48966666666666664,33449.51403751847,0.0006666666666666666,3000,3000,FADDEER (attention),1,1
30.88090415641195,0.49097472924187724,33461.106812989645,0.0009845749917952085,3047,3047,FADDEER (attention),1,2
31.15972550537108,0.525,33472.795564409214,0.0003333333333333333,3000,2999,FADDEER (attention),1,3
31.971864581365068,0.5094520986863185,33494.21886949206,0.0006408202499198974,3121,3119,FADDEER (attention),1,4
30.43360232255695,0.5239691585652028,33460.033869032566,0.0010056989607777405,2983,2980,FADDEER (attention),1,5
30.37810952023957,0.5134865134865135,33464.41578808857,0.000999000999000999,3003,3001,FADDEER (attention),1,6
31.282332759915846,0.5169160702667535,33475.750951689275,0.0009759271307742355,3074,3075,FADDEER (attention),1,7
30.81392661232378,0.49934426229508194,33454.586573819106,0.0,3050,3048,FADDEER (attention),1,8
30.95473797068226,0.5140522875816993,33473.905660059434,0.000980392156862745,3060,3060,FADDEER (attention),1,9
30.54199620630379,0.48166501486620417,33446.19866167288,0.0013214403700033035,3027,3026,FADDEER (attention),2,0
30.70641140189839,0.5193204530313125,33471.03850228932,0.00033311125916055963,3002,3002,FADDEER (attention),2,1
29.419947547786354,0.48333333333333334,33432.09527626921,0.0006802721088435374,2940,2940,FADDEER (attention),2,2
29.137883312366654,0.5036691127418279,33453.523529117134,0.00066711140760507,2998,2998,FADDEER (attention),2,3
30.131765929874042,0.48658376963350786,33444.42215191645,0.0003272251308900524,3056,3056,FADDEER (attention),2,4
30.117766291628737,0.504113195129977,33467.17604689038,0.0006581112207963146,3039,3037,FADDEER (attention),2,5
31.04061211588992,0.47631492976151585,33451.256064249756,0.0003266906239790918,3061,3061,FADDEER (attention),2,6
30.112804654358612,0.4657624875951042,33441.33912617432,0.0003307972213033411,3023,3024,FADDEER (attention),2,7
31.0495348022401,0.4970336189848385,33460.72209755524,0.0013183915622940012,3034,3035,FADDEER (attention),2,8
31.94550405081543,0.5119846596356663,33481.95009311594,0.0009587727708533077,3129,3127,FADDEER (attention),2,9
31.081460861883862,0.49399599733155436,33452.84504197531,0.00066711140760507,2998,2997,FADDEER (attention),3,0
30.619264772978774,0.5044539755856153,33456.81253972309,0.0006598482349059716,3031,3031,FADDEER (attention),3,1
29.783204088792516,0.5058665772712034,33453.12001413373,0.0,2983,2982,FADDEER (attention),3,2
30.473427353683345,0.4874306235716618,33461.09520519605,0.0,3063,3063,FADDEER (attention),3,3
30.090270218987374,0.5005018400802944,33460.84401514233,0.00033456005352960856,2989,2987,FADDEER (attention),3,4
31.2987851096846,0.45984922976073417,33443.18175147945,0.0006555227794165847,3051,3051,FADDEER (attention),3,5
29.707788010423563,0.4816188870151771,33440.20575693518,0.001011804384485666,2965,2965,FADDEER (attention),3,6
29.693640358060783,0.5148148148148148,33464.6394314286,0.0006734006734006734,2970,2969,FADDEER (attention),3,7
30.73462735906517,0.4861804861804862,33455.913570520126,0.000666000666000666,3003,3002,FADDEER (attention),3,8
30.845336774072297,0.5315431899061792,33489.269214918226,0.0012940795858945326,3091,3091,FADDEER (attention),3,9
30.0797071178676,0.5202273487128051,33460.134573491625,0.00033433634236041456,2991,2992,FADDEER (attention),4,0
30.795449046547247,0.49556941253692155,33462.956964159144,0.0003281916639317361,3047,3049,FADDEER (attention),4,1
28.933849867799207,0.5187891440501043,33449.851775886214,0.0,2874,2873,FADDEER (attention),4,2
31.03708273124983,0.4632861376358248,33443.26766630758,0.00032927230819888045,3037,3038,FADDEER (attention),4,3
30.322421627753762,0.4930325149303251,33455.39361710841,0.0006635700066357001,3014,3013,FADDEER (attention),4,4
30.65104318102756,0.5101639344262295,33473.62202278908,0.0006557377049180328,3050,3049,FADDEER (attention),4,5
29.41194564217915,0.4966442953020134,33449.096976035136,0.0003355704697986577,2980,2979,FADDEER (attention),4,6
30.700259394168462,0.5101307189542483,33464.899987276585,0.000326797385620915,3060,3060,FADDEER (attention),4,7
30.44109857323304,0.5225551531116233,33475.952396594745,0.0009878169245966415,3037,3037,FADDEER (attention),4,8
30.962114078198688,0.4740384615384615,33455.411569880875,0.000641025641025641,3120,3119,FADDEER (attention),4,9
29.85639077883566,0.4917922948073702,33452.95622226755,0.0006700167504187605,2985,2984,FADDEER (attention),5,0
30.223147328583217,0.5041960389392414,33449.58809518884,0.0010070493454179255,2979,2978,FADDEER (attention),5,1
30.40493898285585,0.4874118831822759,33452.81655284329,0.0003356831151393085,2979,2979,FADDEER (attention),5,2
30.006258921107346,0.4709828916470983,33430.375850714874,0.0006709158000670916,2981,2980,FADDEER (attention),5,3
29.58539934075429,0.4954499494438827,33447.884278357626,0.0003370407819346141,2967,2966,FADDEER (attention),5,4
30.185619991521,0.5097184986595175,33458.19256571558,0.0,2984,2983,FADDEER (attention),5,5
30.098465078910248,0.5301245371928643,33461.57051597561,0.0003365870077415012,2971,2971,FADDEER (attention),5,6
31.725602959549576,0.5429610046265697,33480.38950635289,0.0006609385327164573,3026,3025,FADDEER (attention),5,7
31.58911289686534,0.4763934426229508,33456.18234508469,0.0,3050,3047,FADDEER (attention),5,8
30.482665365764966,0.5079830563701532,33472.85198939945,0.0006516780710329097,3069,3068,FADDEER (attention),5,9
30.638606933583,0.5280678851174935,33470.562763801114,0.00032637075718015666,3064,3064,FADDEER (attention),6,0
29.968132298356483,0.5132113821138211,33454.68836915302,0.0,2952,2951,FADDEER (attention),6,1
30.72893848294432,0.5037791652974039,33459.37476123736,0.000985869208018403,3043,3043,FADDEER (attention),6,2
30.1416003021759,0.5001644195988162,33459.9896753535,0.0003288391976323578,3041,3041,FADDEER (attention),6,3
30.309414123172953,0.5212520593080725,33477.53179484869,0.00032948929159802305,3035,3035,FADDEER (attention),6,4
29.899308276486938,0.5120160213618158,33459.41601866321,0.0013351134846461949,2996,2995,FADDEER (attention),6,5
31.09243366450939,0.5231281198003328,33477.65798198553,0.00033277870216306157,3005,3004,FADDEER (attention),6,6
30.244274885561136,0.5307486631016043,33471.20517106464,0.00033422459893048126,2992,2991,FADDEER (attention),6,7
30.536127927879434,0.47759241086032056,33455.303613714525,0.0009813542688910696,3057,3055,FADDEER (attention),6,8
29.603179799983813,0.47019423978566643,33438.03963653938,0.0,2986,2986,FADDEER (attention),6,9
30.638100529750403,0.5167045085955239,33480.785475790995,0.0006487187804086928,3083,3082,FADDEER (attention),7,0
30.567546217870856,0.5046822742474917,33459.735244899784,0.0006688963210702341,2990,2990,FADDEER (attention),7,1
30.169566416211907,0.48873192061890347,33455.22754913158,0.0,2973,2973,FADDEER (attention),7,2
30.548479356393397,0.5090849025437727,33465.16928987096,0.0003303600925008259,3027,3026,FADDEER (attention),7,3
30.35604221556125,0.5129654255319149,33468.89331725521,0.0003324468085106383,3008,3006,FADDEER (attention),7,4
31.203978873627644,0.4845427920598763,33466.603512891634,0.0,3073,3073,FADDEER (attention),7,5
30.425408800829597,0.4961781322698571,33461.35877165704,0.0009970089730807576,3009,3009,FADDEER (attention),7,6
30.935188533243693,0.48746336698143927,33461.098830610026,0.0009768804949527841,3071,3072,FADDEER (attention),7,7
29.728138409438323,0.5010013351134847,33456.84552490376,0.0003337783711615487,2996,2997,FADDEER (attention),7,8
30.593776965146656,0.5201719576719577,33472.877912130665,0.0,3024,3024,FADDEER (attention),7,9
30.794103840165267,0.5181086519114688,33466.26646939999,0.00033534540576794097,2982,2983,FADDEER (attention),8,0
28.434235828133183,0.5144264602392681,33439.07158281427,0.0,2842,2842,FADDEER (attention),8,1
30.483591569759064,0.50576986482031,33459.72912290782,0.0006594131223211342,3033,3034,FADDEER (attention),8,2
30.00276931839423,0.4871456822676335,33452.29613816488,0.0,3034,3036,FADDEER (attention),8,3
30.53518582327884,0.4962183492272279,33470.71969438281,0.0009865175928970734,3041,3041,FADDEER (attention),8,4
29.727242769797474,0.4881516587677725,33441.552568775354,0.00033852403520649965,2954,2954,FADDEER (attention),8,5
29.08278280540411,0.47312198483804274,33430.820257672545,0.00034458993797381116,2902,2901,FADDEER (attention),8,6
29.750381870711507,0.5205525606469003,33459.004698054945,0.0006738544474393531,2968,2967,FADDEER (attention),8,7
30.145819794467993,0.5164099129269927,33461.625643467814,0.0006697923643670462,2986,2985,FADDEER (attention),8,8
29.835742527358228,0.5177093677590202,33467.471446380834,0.0009930486593843098,3021,3020,FADDEER (attention),8,9
30.731338406891947,0.4778968519758875,33446.86198961202,0.0003348961821835231,2986,2987,FADDEER (attention),9,0
30.73544777799107,0.4657718120805369,33431.6394266623,0.0013422818791946308,2980,2980,FADDEER (attention),9,1
29.684485159074757,0.47489046174587124,33443.55967813621,0.0003370407819346141,2967,2966,FADDEER (attention),9,2
31.87080711833549,0.5210492227979274,33485.872272368106,0.0006476683937823834,3088,3089,FADDEER (attention),9,3
30.927360571234367,0.5273515677118079,33469.70400904405,0.000333555703802535,2998,2998,FADDEER (attention),9,4
29.732665805900325,0.49673427294602956,33447.35366241447,0.0010312822275696115,2909,2909,FADDEER (attention),9,5
29.673261245094768,0.49749916638879627,33461.520386697724,0.0006668889629876625,2999,2999,FADDEER (attention),9,6
30.671302109070492,0.5205843293492696,33467.76796499679,0.0,3012,3012,FADDEER (attention),9,7
31.14771232564689,0.526281208935611,33481.27302692228,0.000657030223390276,3044,3043,FADDEER (attention),9,8
29.547978436244843,0.48360372799447704,33424.230271215245,0.00034518467380048324,2897,2897,FADDEER (attention),9,9
-15.19459898215764,0.1057124097176625,33103.482541548685,0.0,3046,3047,Wang et al. (hybrid actions),0,0
-12.344201042422343,0.10266030013642564,33093.987841169175,0.0,2932,2930,Wang et al. (hybrid actions),0,1
-13.4611954676131,0.1292989417989418,33120.0508216463,0.0,3024,3022,Wang et al. (hybrid actions),0,2
-23.295485022858642,0.09874088800530152,33103.61294129335,0.0,3018,3015,Wang et al. (hybrid actions),0,3
-23.822336691748912,0.10880155894771029,33103.829221994936,0.0,3079,3077,Wang et al. (hybrid actions),0,4
-19.425097306860994,0.09987236758136567,33091.82236424198,0.0,3134,3134,Wang et al. (hybrid actions),0,5
-18.008593521940234,0.11502347417840375,33103.02321410116,0.0,2982,2981,Wang et al. (hybrid actions),0,6
-18.156107573449287,0.08953258722843976,33086.00478642332,0.0,3038,3038,Wang et al. (hybrid actions),0,7
-17.893746120421742,0.12176870748299319,33104.32336587584,0.0,2940,2940,Wang et al. (hybrid actions),0,8
-18.95822191309647,0.08682432432432433,33086.35352540708,0.0,2960,2960,Wang et al. (hybrid actions),0,9
-20.336059914428326,0.13009198423127463,33127.99567524313,0.0,3044,3043,Wang et al. (hybrid actions),1,0
-17.30515943053272,0.11656646626586506,33106.31533594246,0.0,2994,2994,Wang et al. (hybrid actions),1,1
-19.67282037791527,0.12764528048370843,33115.39383912882,0.0,2977,2976,Wang et al. (hybrid actions),1,2
-22.243358079064834,0.1513157894736842,33145.151923131954,0.0003289473684210526,3040,3039,Wang et al. (hybrid actions),1,3
-22.170046563525162,0.11639344262295082,33101.9260030045,0.0,3050,3050,Wang et al. (hybrid actions),1,4
-11.909143260352083,0.09348914858096828,33088.617053137954,0.0,2995,2995,Wang et al. (hybrid actions),1,5
-25.84439268085489,0.09063941990771258,33088.56045237351,0.0,3034,3033,Wang et al. (hybrid actions),1,6
-21.57174274187067,0.10813594232749743,33100.26072600432,0.0,2913,2913,Wang et al. (hybrid actions),1,7
-15.891699550066356,0.1159090909090909,33115.66263218611,0.0003246753246753247,3080,3079,Wang et al. (hybrid actions),1,8
-18.959344619363957,0.11114899420388681,33100.66099135183,0.0,2933,2932,Wang et al. (hybrid actions),1,9
-21.318757225598844,0.1261321704126132,33128.16204712572,0.0,2981,2980,Wang et al. (hybrid actions),2,0
-16.39811349479166,0.10323679727427598,33091.50197223895,0.0,2935,2935,Wang et al. (hybrid actions),2,1
-20.384174553779193,0.11516571811181787,33112.981434629546,0.00033478406427854036,2987,2986,Wang et al. (hybrid actions),2,2
-18.330337980365744,0.12088650100738751,33113.02340379804,0.0,2978,2978,Wang et al. (hybrid actions),2,3
-22.401158456949055,0.09298477829252151,33088.41589152245,0.0,3022,3021,Wang et al. (hybrid actions),2,4
-13.38233989192147,0.14733333333333334,33134.10316552194,0.0003333333333333333,3000,2999,Wang et al. (hybrid actions),2,5
-13.995286364943789,0.10631117111036112,33100.33905202265,0.0,2963,2963,Wang et al. (hybrid actions),2,6
-16.74762228288423,0.08958837772397095,33089.35846817228,0.0,2891,2891,Wang et al. (hybrid actions),2,7
-22.46745198137262,0.15225500169549,33136.20079305497,0.0,2949,2948,Wang et al. (hybrid actions),2,8
-14.098717477141953,0.09530069010844561,33092.562377286784,0.0,3043,3042,Wang et al. (hybrid actions),2,9
-26.265833781289697,0.13179846513179846,33124.74449657513,0.0,2997,2996,Wang et al. (hybrid actions),3,0
-13.041896035105557,0.10026472534745202,33098.38643987309,0.0,3022,3021,Wang et al. (hybrid actions),3,1
-17.262331727384893,0.1199613028055466,33109.613221241954,0.0,3101,3101,Wang et al. (hybrid actions),3,2
-24.045988645712573,0.15744957709824334,33160.227665777704,0.0,3074,3073,Wang et al. (hybrid actions),3,3
-19.325015464563684,0.11055276381909548,33105.209131323136,0.0,2985,2984,Wang et al. (hybrid actions),3,4
-21.24205303204926,0.1370663002404672,33124.51038522558,0.0,2911,2911,Wang et al. (hybrid actions),3,5
-8.622976945924698,0.12170723574524842,33113.7320980021,0.00033344448149383126,2999,2998,Wang et al. (hybrid actions),3,6
-20.519032250626335,0.11397557666214382,33110.22963024672,0.0,2948,2948,Wang et al. (hybrid actions),3,7
-21.133061061835868,0.09742023082145282,33088.10554746078,0.0,2946,2946,Wang et al. (hybrid actions),3,8
-21.979369183100744,0.11222780569514237,33107.60540871213,0.00033500837520938025,2985,2985,Wang et al. (hybrid actions),3,9
-17.53727000207287,0.10042664916311125,33093.82430867928,0.0,3047,3047,Wang et al. (hybrid actions),4,0
-22.382851225282444,0.1306799336650083,33125.33084901925,0.0,3015,3015,Wang et al. (hybrid actions),4,1
-15.54293421977156,0.10003301419610433,33097.568961822515,0.0,3029,3027,Wang et al. (hybrid actions),4,2
-19.032245282073724,0.10887880751782242,33107.1646554407,0.0,3086,3086,Wang et al. (hybrid actions),4,3
-9.32547510702798,0.11234817813765183,33097.20124333275,0.0,2964,2964,Wang et al. (hybrid actions),4,4
-18.593064086621283,0.10443250503693755,33105.21697534812,0.0,2978,2977,Wang et al. (hybrid actions),4,5
-21.03607378918606,0.12482993197278912,33115.59961744937,0.0,2940,2939,Wang et al. (hybrid actions),4,6
-21.753965897784816,0.10561497326203209,33105.255122937,0.0,2992,2989,Wang et al. (hybrid actions),4,7
